datetime,volume
2020/10/20T07:00:01,0
2020/10/20T07:01:01,0
2020/10/20T07:02:00,0
2020/10/20T07:03:00,0
2020/10/20T07:04:00,0
2020/10/20T07:05:00,0
2020/10/20T07:06:01,0
2020/10/20T07:07:00,0
2020/10/20T07:08:00,0
2020/10/20T07:09:00,0
2020/10/20T07:10:00,0
2020/10/20T07:11:01,0
2020/10/20T07:12:00,0
2020/10/20T07:13:00,0
2020/10/20T07:14:00,0
2020/10/20T07:15:00,0
2020/10/20T07:16:00,0
2020/10/20T07:17:00,0
2020/10/20T07:18:00,0
2020/10/20T07:19:00,0
2020/10/20T07:20:00,0
2020/10/20T07:21:00,0
2020/10/20T07:22:00,0
2020/10/20T07:23:00,0
2020/10/20T07:24:00,0
2020/10/20T07:25:00,0
2020/10/20T07:26:00,0
2020/10/20T07:27:00,0
2020/10/20T07:28:00,0
2020/10/20T07:29:00,0
2020/10/20T07:30:00,0
2020/10/20T07:31:00,0
2020/10/20T07:32:00,0
2020/10/20T07:33:01,0
2020/10/20T07:34:00,0
2020/10/20T07:35:00,0
2020/10/20T07:36:00,0
2020/10/20T07:37:00,0
2020/10/20T07:38:01,0
2020/10/20T07:39:00,0
2020/10/20T07:40:00,0
2020/10/20T07:41:00,0
2020/10/20T07:42:00,0
2020/10/20T07:43:00,0
2020/10/20T07:44:00,0
2020/10/20T07:45:00,0
2020/10/20T07:46:00,0
2020/10/20T07:47:00,0
2020/10/20T07:48:00,0
2020/10/20T07:49:00,0
2020/10/20T07:50:00,0
2020/10/20T07:51:00,0
2020/10/20T07:52:00,0
2020/10/20T07:53:00,0
2020/10/20T07:54:00,0
2020/10/20T07:55:00,0
2020/10/20T07:56:00,0
2020/10/20T07:57:00,0
2020/10/20T07:58:00,0
2020/10/20T07:59:00,0
2020/10/20T08:00:01,0
2020/10/20T08:01:00,1.1627906976744
2020/10/20T08:02:00,2.7906976744186
2020/10/20T08:03:00,4.6511627906977
2020/10/20T08:04:00,5.8139534883721
2020/10/20T08:05:01,6.2790697674419
2020/10/20T08:06:00,6.046511627907
2020/10/20T08:07:00,6.2790697674419
2020/10/20T08:08:00,6.046511627907
2020/10/20T08:09:00,6.2790697674419
2020/10/20T08:10:01,6.5116279069767
2020/10/20T08:11:00,8.6046511627907
2020/10/20T08:12:00,9.3023255813953
2020/10/20T08:13:00,9.3023255813953
2020/10/20T08:14:00,9.7674418604651
2020/10/20T08:15:00,10.232558139535
2020/10/20T08:16:00,10.232558139535
2020/10/20T08:17:00,10.93023255814
2020/10/20T08:18:00,11.860465116279
2020/10/20T08:19:00,12.558139534884
2020/10/20T08:20:00,12.790697674419
2020/10/20T08:21:00,13.953488372093
2020/10/20T08:22:00,14.418604651163
2020/10/20T08:23:00,14.651162790698
2020/10/20T08:24:00,14.186046511628
2020/10/20T08:25:01,15.813953488372
2020/10/20T08:26:00,15.581395348837
2020/10/20T08:27:00,15.581395348837
2020/10/20T08:28:00,16.279069767442
2020/10/20T08:29:00,15.813953488372
2020/10/20T08:30:01,16.744186046512
2020/10/20T08:31:00,17.674418604651
2020/10/20T08:32:00,18.372093023256
2020/10/20T08:33:00,17.906976744186
2020/10/20T08:34:00,18.139534883721
2020/10/20T08:35:01,18.837209302326
2020/10/20T08:36:00,19.302325581395
2020/10/20T08:37:00,19.302325581395
2020/10/20T08:38:00,19.53488372093
2020/10/20T08:39:00,19.767441860465
2020/10/20T08:40:00,20.46511627907
2020/10/20T08:41:00,21.162790697674
2020/10/20T08:42:00,20.93023255814
2020/10/20T08:43:00,22.325581395349
2020/10/20T08:44:00,22.093023255814
2020/10/20T08:45:00,22.325581395349
2020/10/20T08:46:00,22.790697674419
2020/10/20T08:47:00,23.255813953488
2020/10/20T08:48:00,24.186046511628
2020/10/20T08:49:00,24.186046511628
2020/10/20T08:50:00,24.418604651163
2020/10/20T08:51:00,24.418604651163
2020/10/20T08:52:00,24.883720930233
2020/10/20T08:53:00,24.651162790698
2020/10/20T08:54:00,24.883720930233
2020/10/20T08:55:00,24.883720930233
2020/10/20T08:56:00,24.883720930233
2020/10/20T08:57:00,25.348837209302
2020/10/20T08:58:00,25.348837209302
2020/10/20T08:59:00,25.581395348837
2020/10/20T09:00:00,26.046511627907
2020/10/20T09:01:00,27.674418604651
2020/10/20T09:02:00,28.604651162791
2020/10/20T09:03:00,29.53488372093
2020/10/20T09:04:00,29.53488372093
2020/10/20T09:05:00,29.767441860465
